out,in[0],in[1],in[2]
/Top/go7899,/Top/gi8034,,
/Top/go7921,/Top/gi8033,,
/Top/go7927,/Top/gi8035,,
/Top/go7932,/Top/gi7937,/Top/gi7949,
/Top/go7938,/Top/gi7946,,
/Top/go7939,/Top/gi7947,,
/Top/go7940,/Top/gi7950,,
/Top/go7941,/Top/gi7948,/Top/gi7961,/Top/gi7993
/Top/go7951,/Top/gi7959,/Top/gi8005,
/Top/go7952,/Top/gi7960,,
/Top/go7953,/Top/gi7983,,
/Top/go7954,/Top/gi7972,,
/Top/go7962,/Top/gi7982,,
/Top/go7963,/Top/gi7980,,
/Top/go7964,/Top/gi7970,/Top/gi8003,
/Top/go7965,/Top/gi7971,,
/Top/go7973,/Top/gi7981,,
/Top/go7974,/Top/gi7984,,
/Top/go7975,/Top/gi7992,/Top/gi8002,
/Top/go7985,/Top/gi7991,/Top/gi8006,
/Top/go7986,/Top/gi8013,,
/Top/go7994,/Top/gi8001,,
/Top/go7995,/Top/gi8014,,
/Top/go7996,/Top/gi8004,,
/Top/go8007,/Top/gi8016,,
/Top/go8008,/Top/gi8015,,
/Top/go8017,/Top/gi7920,,
/Top/go8036,/Top/gi7898,,
/Top/go8037,/Top/gi7926,,
/Top/go8038,/Top/gi7924,,
/Top/go8039,/Top/gi7925,,
/Top/go8040,/Top/gi7923,,

